model,term,beta,SE,OR,lower95_model_based,upper95_model_based,p_model_based,N,AIC,deviance
Model 1: livelihood + context,Intercept,-2.855548724205273,0.21820492826391613,0.05752424751208059,0.0375068992247004,0.08822480984116975,3.930826337645051e-39,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,"C(livelihood, Treatment(reference='Other'))[T.Agriculture only]",0.35020299445524067,0.22175891946375811,1.4193556406767922,0.919022671028808,2.1920791491093454,0.11428883663746682,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,"C(livelihood, Treatment(reference='Other'))[T.Livestock only]",0.48461218608818074,0.10957899940993246,1.6235452533024435,1.3097513987332248,2.0125187055118277,9.7569219412557e-06,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,"C(livelihood, Treatment(reference='Other'))[T.Mixed crop-livestock]",0.9549136522105505,0.1540916773610194,2.598446203146667,1.9210923654306236,3.5146267780486697,5.753164906789967e-10,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,"C(ea_type_n, Treatment(reference='Urban'))[T.Rural]",0.40288046028740965,0.1055460674096789,1.4961280342583005,1.2165392752428237,1.8399727328546935,0.00013502651612468688,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,"C(ea_type_n, Treatment(reference='Urban'))[T.Nomadic]",0.8209286424320499,0.13587302173802446,2.272609299339776,1.7412748542812626,2.9660756972094786,1.5232770426164467e-09,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,"C(school_cat, Treatment(reference='Never attended'))[T.Ever attended]",-0.04794242793387542,0.094218871522419,0.9531886625385516,0.7924614514495252,1.146514602988109,0.610863654926598,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,"C(school_cat, Treatment(reference='Never attended'))[T.Unknown]",-0.7067705140453341,0.26731951949881677,0.49323452207465873,0.29208314553503567,0.8329145227485756,0.008195284705801876,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Bakool],1.9828753522315432,0.221233261904325,7.263598391316438,4.707976316470448,11.206484069547871,3.164601564671956e-19,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Banadir],-2.1373734724229854,0.4446314110510382,0.11796427289670779,0.049348345569951074,0.28198654928205613,1.5315983024008116e-06,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Bari],0.5480591690339337,0.22410464515002312,1.729892329057672,1.114955021392237,2.6839894100802626,0.014463129595610025,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Bay],1.2265168022220005,0.21888280368181187,3.4093334474136174,2.2199984706901708,5.2358389922852515,2.1002727772961612e-08,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Galgaduud],0.5508208006645392,0.22627111693975444,1.7346762571142305,1.1133009281698367,2.70286464410168,0.01491897949229654,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Gedo],0.05543501239718013,0.27959884640360483,1.0570003229231464,0.6110486334152374,1.8284136835642184,0.8428367627666458,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Hiraan],-0.3795132560513042,0.27987041094097587,0.6841943556382921,0.395320179466836,1.184158918774773,0.17508896062554313,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Lower Juba],1.6304763096772266,0.22221960761757478,5.106306322508797,3.3033129157342205,7.893398210958713,2.1806015548042382e-13,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Lower Shabelle],0.04150943530493669,0.2314467019921632,1.0423829970065122,0.6622407618294216,1.6407360813107912,0.8576646892698179,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Waqooyi Galbeed],0.09168487615630186,0.22359306268900456,1.096019385814448,0.7071181399341036,1.69880876509974,0.6817674955346864,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Middle Shabelle],-0.4045362871572617,0.2982665560387769,0.6672861682924422,0.3718968541327191,1.197296576850057,0.1750065535529376,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Mudug],-1.163641938093356,0.3280714059754262,0.31234656009252526,0.16420134450114954,0.5941508816387949,0.0003897678569584884,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Nugaal],0.3222288763280587,0.28555686727996066,1.380200635062869,0.7886263980366016,2.415533892563832,0.25914140832221266,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Sanaag],0.8084189449170389,0.22573266501623568,2.244356728435321,1.4419306164108783,3.4933283662502976,0.0003418740094449365,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Sool],0.9310216668389375,0.24659221854755412,2.5370999248125057,1.5647106496345697,4.113780416837401,0.0001596539130092161,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,C(region_n)[T.Togdheer],0.8644302523421821,0.2205872419617036,2.37365331722733,1.5404572040296731,3.657505093712282,8.900268518115221e-05,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,hhsize,1.8129409769696014e-05,0.015045459774149141,1.0000181295741084,0.9709590624768859,1.0299468825450142,0.9990385689192381,7212,4562.467054725043,4510.4670547250425
Model 1: livelihood + context,female_head,-0.0850280038573763,0.08379673944091569,0.9184865628745993,0.7793698166951565,1.0824355114988609,0.3102519704566812,7212,4562.467054725043,4510.4670547250425
Model 2: + rainy-season source,Intercept,-2.9825741302751676,0.23450390967012935,0.05066225462956988,0.03199416318690454,0.08022288406661407,4.65813991380118e-37,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,"C(livelihood, Treatment(reference='Other'))[T.Agriculture only]",0.16834228560543887,0.2376054331891077,1.1833415821257822,0.7427733236031905,1.8852283132559375,0.4786378528175418,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,"C(livelihood, Treatment(reference='Other'))[T.Livestock only]",0.37672602274964534,0.11730848906172578,1.457504931469992,1.1581239184636727,1.8342774822208978,0.001320838952472093,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,"C(livelihood, Treatment(reference='Other'))[T.Mixed crop-livestock]",0.6626424583088473,0.1648275047368244,1.93991170336262,1.4043584075017896,2.6796987127650076,5.814437655007781e-05,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,"C(ea_type_n, Treatment(reference='Urban'))[T.Rural]",0.004351717604932942,0.11775435516648886,1.0043612000780149,0.7973617460620765,1.2650988402742076,0.9705201722564301,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,"C(ea_type_n, Treatment(reference='Urban'))[T.Nomadic]",0.06047386121865379,0.15562799022285914,1.0623398289389034,0.7830513534651512,1.4412412508526034,0.6975871645656055,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,"C(school_cat, Treatment(reference='Never attended'))[T.Ever attended]",-0.04340767269061095,0.100069461081396,0.9575209553434697,0.7869867896505335,1.1650086024048796,0.6644515312354302,7212,4124.680699079291,4062.680699079291
Model 2: + rainy-season source,"C(school_cat, Treatment(reference='Never attended'))[T.Unknown]",-0.7869938981152209,0.2814807729876578,0.455211151651139,0.2621872821614964,0.7903403661658888,0.0051754384930232655,7212,4124.680699079291,4062.680699079291
