model,term,beta,SE,OR,lower95_model_based,upper95_model_based,p_model_based,N,AIC,deviance
Primary weighted,Intercept,-2.9825741302751676,0.23450390967012935,0.05066225462956988,0.03199416318690454,0.08022288406661407,4.65813991380118e-37,7212,4124.680699079291,4062.680699079291
Primary weighted,"C(livelihood, Treatment(reference='Other'))[T.Agriculture only]",0.16834228560543887,0.2376054331891077,1.1833415821257822,0.7427733236031905,1.8852283132559375,0.4786378528175418,7212,4124.680699079291,4062.680699079291
Primary weighted,"C(livelihood, Treatment(reference='Other'))[T.Livestock only]",0.37672602274964534,0.11730848906172578,1.457504931469992,1.1581239184636727,1.8342774822208978,0.001320838952472093,7212,4124.680699079291,4062.680699079291
Primary weighted,"C(livelihood, Treatment(reference='Other'))[T.Mixed crop-livestock]",0.6626424583088473,0.1648275047368244,1.93991170336262,1.4043584075017896,2.6796987127650076,5.814437655007781e-05,7212,4124.680699079291,4062.680699079291
Primary weighted,"C(ea_type_n, Treatment(reference='Urban'))[T.Rural]",0.004351717604932942,0.11775435516648886,1.0043612000780149,0.7973617460620765,1.2650988402742076,0.9705201722564301,7212,4124.680699079291,4062.680699079291
Primary weighted,"C(ea_type_n, Treatment(reference='Urban'))[T.Nomadic]",0.06047386121865379,0.15562799022285914,1.0623398289389034,0.7830513534651512,1.4412412508526034,0.6975871645656055,7212,4124.680699079291,4062.680699079291
Primary weighted,"C(school_cat, Treatment(reference='Never attended'))[T.Ever attended]",-0.04340767269061095,0.100069461081396,0.9575209553434697,0.7869867896505335,1.1650086024048796,0.6644515312354302,7212,4124.680699079291,4062.680699079291
Primary weighted,"C(school_cat, Treatment(reference='Never attended'))[T.Unknown]",-0.7869938981152209,0.2814807729876578,0.455211151651139,0.2621872821614964,0.7903403661658888,0.0051754384930232655,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Bakool],1.0771718397010457,0.2433737003659295,2.9363632906679307,1.8224092455562466,4.731225654065682,9.599681251190919e-06,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Banadir],-2.2360099523906993,0.4492660594215099,0.10688412744360938,0.04430882424593346,0.2578316372371405,6.456783964707563e-07,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Bari],0.2801405801989426,0.23802674354165756,1.3233158312646647,0.8299483266790735,2.1099684558468126,0.2392238410682097,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Bay],1.0100975389325413,0.22889544190847647,2.745868831070139,1.7532346843008848,4.3005056339328815,1.0198514279071903e-05,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Galgaduud],0.33440829149062523,0.2435795298810035,1.3971134566753882,0.8667474927913189,2.2520122954580084,0.1697860470875039,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Gedo],-0.8066779292702382,0.2996434684339157,0.4463383736652432,0.2480861715106357,0.8030191388462521,0.007099814696824036,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Hiraan],-1.025893082808222,0.29815189001147097,0.3584761734959346,0.1998334943894675,0.6430612013111074,0.0005799103813938063,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Lower Juba],0.5836545284073397,0.24493992243905716,1.7925775002617412,1.1091259585654918,2.8971768892693275,0.017179300494927136,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Lower Shabelle],-0.021334207364123406,0.24193030042501615,0.9788917570610363,0.6092554773525082,1.5727869632062783,0.9297310063619034,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Waqooyi Galbeed],-0.207112535846482,0.241166322534007,0.8129281612810292,0.5067190717803467,1.30417865086835,0.39045338891415227,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Middle Shabelle],-1.076108858434019,0.3177003289995127,0.34091951415321586,0.1829026009136039,0.635453594152909,0.0007061450811998351,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Mudug],-1.1172810627952865,0.336391762291789,0.3271681360207606,0.169210983961449,0.6325770746164173,0.0008957712539207553,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Nugaal],0.07715293381201502,0.3005617479813235,1.0802072639755411,0.5993268967600196,1.9469303638023598,0.7974136257014321,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Sanaag],0.938439095313178,0.23808871465365158,2.5559886483126135,1.6028530772997611,4.075905685197835,8.095601401181417e-05,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Sool],0.7987154051889584,0.26383402905910563,2.2226838456537528,1.325249453132166,3.727844192694387,0.0024671598909271277,7212,4124.680699079291,4062.680699079291
Primary weighted,C(region_n)[T.Togdheer],0.5835597732140587,0.23565028650760977,1.792407652281349,1.1293985243297977,2.8446337787303357,0.013272204866457268,7212,4124.680699079291,4062.680699079291
Primary weighted,"C(rain_family, Treatment(reference='Private piped'))[T.Delivered/vendor]",0.19646567302186216,0.15687117433243955,1.2170935410177357,0.8949371123831366,1.6552187489939696,0.21042364881784126,7212,4124.680699079291,4062.680699079291
Primary weighted,"C(rain_family, Treatment(reference='Private piped'))[T.Groundwater]",0.41847720421526735,0.13319691044579504,1.519645682725477,1.1704768849515739,1.9729761695565002,0.001679163463136124,7212,4124.680699079291,4062.680699079291
Primary weighted,"C(rain_family, Treatment(reference='Private piped'))[T.Other/social]",0.3202540521892556,0.7013825892016153,1.3774776711047796,0.3483819573042924,5.446449492029618,0.647955748264244,7212,4124.680699079291,4062.680699079291
Primary weighted,"C(rain_family, Treatment(reference='Private piped'))[T.Public network]",1.2981824233750465,0.1894560577908484,3.662633497012094,2.5265343716371067,5.309598905136865,7.274526884572479e-12,7212,4124.680699079291,4062.680699079291
Primary weighted,"C(rain_family, Treatment(reference='Private piped'))[T.Rain/surface]",2.4684320261948662,0.14225685802307556,11.803924090067785,8.931716417893924,15.599759039028791,1.9070437134778754e-67,7212,4124.680699079291,4062.680699079291
Primary weighted,hhsize,0.014254637597405013,0.015917882862320765,1.0143567194136265,0.9831983363459607,1.0465025378740327,0.37051404204141103,7212,4124.680699079291,4062.680699079291
Primary weighted,female_head,-0.0998865223620515,0.08913966156921573,0.9049401026749807,0.7598758160116111,1.077697924020905,0.2624743242530727,7212,4124.680699079291,4062.680699079291
Unweighted,Intercept,-2.592395301379913,0.2379013463442585,0.07484055952062528,0.04694953675195042,0.11930063078050646,1.192064574967439e-27,7212,4525.2262258277915,4463.2262258277915
Unweighted,"C(livelihood, Treatment(reference='Other'))[T.Agriculture only]",0.3295426532141128,0.23043505292464217,1.3903321191104585,0.8850509628258729,2.1840814626744676,0.15269145346117685,7212,4525.2262258277915,4463.2262258277915
Unweighted,"C(livelihood, Treatment(reference='Other'))[T.Livestock only]",0.2592995607189554,0.10960936459816767,1.2960219839608327,1.0454686001545357,1.6066221239561786,0.017997489461072214,7212,4525.2262258277915,4463.2262258277915
Unweighted,"C(livelihood, Treatment(reference='Other'))[T.Mixed crop-livestock]",0.4287097589242479,0.1546774656165731,1.5352753697504926,1.1337627024571328,2.078980421435791,0.00557752271498329,7212,4525.2262258277915,4463.2262258277915
Unweighted,"C(ea_type_n, Treatment(reference='Urban'))[T.Rural]",-0.11582298927666249,0.10938739558669051,0.8906328609122252,0.7187639454981622,1.103598612458119,0.2896758208307664,7212,4525.2262258277915,4463.2262258277915
Unweighted,"C(ea_type_n, Treatment(reference='Urban'))[T.Nomadic]",-0.022477370729325208,0.1409618889368151,0.9777733632410827,0.7417354223567244,1.2889242188624872,0.8733087734309006,7212,4525.2262258277915,4463.2262258277915
Unweighted,"C(school_cat, Treatment(reference='Never attended'))[T.Ever attended]",-0.1226946321305171,0.09467104350588817,0.8845337295043032,0.7347317022203456,1.0648783988310204,0.19497199225905082,7212,4525.2262258277915,4463.2262258277915
Unweighted,"C(school_cat, Treatment(reference='Never attended'))[T.Unknown]",-0.447022107440656,0.24794284037388967,0.6395297697520856,0.3933757273605224,1.0397141916799442,0.07140014496458123,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Bakool],1.197904540169609,0.23399822290982658,3.3131670352408396,2.094401899816128,5.241150614106241,3.066896022562105e-07,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Banadir],-2.391856051870378,0.5424196838109552,0.09145977216261778,0.031587347563135214,0.2648177377767674,1.035597765174265e-05,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Bari],0.25226654810243787,0.25269981966946164,1.2869390227262114,0.7842518300194283,2.1118370207366515,0.31814097075773784,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Bay],0.31674682632463746,0.2451374411106173,1.3726550078169402,0.8489775310187347,2.2193541073154086,0.19631582247929114,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Galgaduud],0.26167294037571565,0.2561787311777873,1.2991015892629667,0.7862838867172873,2.14638118335544,0.307042810917288,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Gedo],-0.4804365088223669,0.25740217110212854,0.6185133463393856,0.373459854727324,1.0243638098110013,0.061973965695230705,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Hiraan],-0.940766613611161,0.2816181147118705,0.39032848949900245,0.224756402585795,0.6778731460449264,0.0008360490352974715,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Lower Juba],0.5694495987345095,0.24244747723946397,1.767294062802551,1.0988372149052645,2.842393997992162,0.018836322589085856,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Lower Shabelle],-0.07999615484475606,0.2644964339788102,0.9231198959191201,0.5496853994320685,1.5502510037962869,0.762311325040995,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Waqooyi Galbeed],0.07492779871076202,0.23894825100770337,1.07780632906874,0.6747515207665472,1.721621140862238,0.7538451183214071,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Middle Shabelle],-1.037419344331276,0.29880531013048345,0.35436800476637687,0.19729055227234893,0.6365063169814187,0.0005168069174754885,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Mudug],-1.2495228854029596,0.3690941966195079,0.28664152509581897,0.1390464108216698,0.5909060393844572,0.0007108064052382764,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Nugaal],0.11712746874929918,0.25917458754058,1.1242627289211953,0.6764784257720435,1.8684508411318623,0.6513230323369148,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Sanaag],0.49317622064445166,0.2593603148513903,1.6375090588669423,0.9849444882898856,2.7224233951772803,0.05723524981214693,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Sool],0.6598472907816841,0.24779324945311115,1.9344968963356737,1.1902608941237491,3.144082327166901,0.007747169018183158,7212,4525.2262258277915,4463.2262258277915
Unweighted,C(region_n)[T.Togdheer],0.2220371645490662,0.2482222438914894,1.248617781318795,0.7676062032849379,2.031049719444161,0.3710493291738449,7212,4525.2262258277915,4463.2262258277915
