Characteristic,No substantive transition,Substantive transition,Total
"Households, n","6,206","1,006","7,212"
"Household size, weighted mean",6.70,6.43,6.66
"Female-headed household, %",53.1,47.6,52.5
"Head ever attended school, %",32.5,27.1,31.8
"Urban residence, %",64.1,39.7,61.2
"Rural residence, %",24.9,32.8,25.9
"Nomadic residence, %",11.0,27.5,13.0
"Livestock-only livelihood, %",23.9,42.7,26.2
"Mixed crop-livestock livelihood, %",5.0,12.2,5.9
"Rain/surface rainy-season source, %",5.7,41.5,10.0
"Groundwater rainy-season source, %",21.0,24.0,21.4
"Delivered/vendor rainy-season source, %",14.8,10.1,14.2
">2 km from all-season road, %*",4.2,9.1,4.8
